iter	Passed	Remaining
399	33525	8381
400	33609	8297
401	33701	8215
402	33787	8132
403	33871	8048
404	33965	7967
405	34049	7883
406	34139	7800
407	34244	7721
408	34326	7637
409	34414	7554
410	34500	7470
411	34588	7387
412	34683	7306
413	34776	7224
414	34869	7141
415	34963	7059
416	35046	6975
417	35144	6894
418	35259	6816
419	35340	6731
420	35428	6648
421	35513	6564
422	35604	6481
423	35693	6397
424	35783	6314
425	35875	6231
426	35965	6148
427	36061	6066
428	36138	5981
429	36224	5896
430	36317	5814
431	36409	5731
432	36496	5647
433	36572	5561
434	36659	5477
435	36748	5394
436	36836	5310
437	36925	5226
438	37015	5143
439	37103	5059
440	37186	4975
441	37273	4891
442	37366	4807
443	37451	4723
444	37535	4639
445	37615	4554
446	37696	4469
447	37778	4385
448	37832	4297
449	37919	4213
450	38020	4130
451	38105	4046
452	38191	3962
453	38249	3875
454	38335	3791
455	38421	3707
456	38472	3619
457	38524	3532
458	38609	3448
459	38698	3365
460	38792	3281
461	38887	3198
462	38970	3114
463	39058	3030
464	39144	2946
465	39230	2862
466	39317	2778
467	39403	2694
468	39490	2610
469	39572	2525
470	39654	2441
471	39737	2357
472	39818	2272
473	39895	2188
474	39981	2104
475	40037	2018
476	40118	1934
477	40204	1850
478	40300	1766
479	40385	1682
480	40468	1598
481	40553	1514
482	40636	1430
483	40719	1346
484	40810	1262
485	40895	1178
486	40977	1093
487	41060	1009
488	41140	925
489	41192	840
490	41244	756
491	41332	672
492	41421	588
493	41509	504
494	41596	420
495	41675	336
496	41754	252
497	41842	168
498	41930	84
499	42020	0
